gauge_id,EventRR,RR_seasonality,Recession_a_seasonality,AverageStorage,RecessionParametersAlpha,RecessionParametersBeta,RecessionParametersT0,BaseflowRecessionK,FirstRecessionSlope,MidRecessionSlope,EventRR_TotalRR_Ratio,VariabilityIndex
1013500,0.25847,1.7618,2.3538,233.47,0.050216,1.534,22.338,0.053788,0.064615,0.040738,0.47719,0.36077
1022500,0.34456,0.93686,1.8823,216.75,0.078658,2.1951,10.313,0.098498,0.24133,0.13426,0.58614,0.40264
1030500,0.2858,1.3052,2.9387,211.17,0.10184,1.7158,10.827,0.090977,0.11903,0.092579,0.51343,0.4714
1031500,0.34294,1.1184,2.2936,187.75,0.14914,2.1006,7.6975,0.12228,0.27805,0.14499,0.59697,0.46738
1047000,0.37238,1.1761,1.8382,194.38,0.11673,2.6083,9.4296,0.1126,0.36531,0.12817,0.56988,0.40383
1052500,0.4042,1.47,1.5806,241.98,0.13087,2.6528,7.2424,0.15264,0.61403,0.29176,0.64284,0.37499
1054200,0.43029,1.1682,1.6317,248.89,0.089535,2.7237,8.4991,0.14071,1.1274,0.37321,0.63783,0.39187
1055000,0.40358,1.224,2.2127,191.42,0.13819,2.5183,7.5716,0.14478,0.46446,0.18778,0.61908,0.40965
1057000,0.29919,1.0703,2.8572,240.73,0.13015,2.0962,8.3655,0.13928,0.2127,0.13889,0.58385,0.45408
1073000,0.28277,0.72976,2.812,232.51,0.12989,1.8932,7.8469,0.17821,0.51077,0.18726,0.58206,0.51022
1078000,0.28304,0.96738,2.3763,193.33,0.13002,2.2651,8.4019,0.13172,0.21867,0.095195,0.57348,0.404
1118300,0.34024,0.62846,3.0151,210.14,0.072445,2.4152,9.3039,0.15745,1.045,0.17792,0.62552,0.50089
1121000,0.31557,0.58414,3.0498,211.34,0.071074,2.6677,10.165,0.16234,0.74719,0.2304,0.63174,0.45747
1123000,0.28411,0.62601,1.9235,248.77,0.056048,3.0883,15.272,0.1093,0.47051,0.15072,0.62392,0.3641
1134500,0.39117,1.0607,2.4624,240.69,0.12977,2.3572,6.2745,0.16859,0.2969,0.19378,0.65136,0.3548
