gauge_id,IE_effect,SE_effect,IE_thresh_signif,SE_thresh_signif,IE_thresh,SE_thresh,SE_slope,Storage_thresh_signif,Storage_thresh
1013500,-0.16825,0.48834,1,1,2.10E-09,5.11E-08,0.13714,1,3.27E-05
1022500,0,0.74577,1,4.07E-07,1.74E-10,11.072,0.38364,0,22.988
1030500,-0.14462,0.71189,1,0.71608,1.64E-09,1.5287,0.22699,0.00063738,14.412
1031500,0,0.71727,1,4.14E-08,7.55E-10,12.538,0.49474,0,23.403
1047000,0.042277,0.70781,1,1.35E-11,1.27E-09,13.328,0.53579,0,22.959
1052500,0,0.61236,1,0.0026293,5.68E-12,9.6598,0.43623,1.08E-05,18.968
1054200,0.061141,0.62507,1,5.77E-15,2.83E-09,15.676,0.60342,0,29.059
1055000,0,0.67235,1,1.04E-11,5.23E-10,14.278,0.57862,0,24.362
1057000,-0.038988,0.7154,1,3.71E-09,1.65E-09,12.609,0.39621,0,24.355
1073000,0,0.6591,1,0,1.46E-11,18.15,0.43774,0,28.019
1078000,-0.054029,0.69613,1,1.14E-11,1.11E-09,15.104,0.39893,0,25.085
1118300,0.058396,0.58917,1,0.00046577,1.18E-11,6.8081,0.29191,6.66E-16,18.326
1121000,-0.015733,0.70985,1,1.68E-11,1.17E-11,10.942,0.34614,0,22.595
1123000,0.050961,0.63272,1,5.32E-05,1.50E-11,8.3251,0.24988,2.22E-16,19.859
1134500,-0.079132,0.68536,1,0.001501,1.04E-11,7.5286,0.37635,3.24E-08,16.865
1137500,0,0.68274,1,1.76E-06,1.03E-09,10.829,0.37049,3.29E-14,21.373
1139000,-0.062266,0.65766,1,0.051508,1.60E-11,4.6139,0.24218,1.84E-05,12.325
1139800,-0.047336,0.54413,1,1,1.86E-11,6.00E-08,0.16472,0.42621,3.3803
1142500,-0.062757,0.62937,1,0.20791,1.42E-11,3.7093,0.23135,0.00044048,12.412
1144000,-0.060821,0.67906,1,0.070974,1.08E-11,4.8386,0.25444,4.21E-05,13.388
1162500,-0.106,0.74101,1,2.91E-05,1.21E-11,8.9976,0.29623,0,21.608
1169000,0.0016246,0.6691,1,1.79E-07,1.37E-10,11.664,0.393,0,23.724
1170100,0.043031,0.62556,1,2.29E-07,1.87E-10,11.274,0.35259,0,22.601
1181000,0.010963,0.65599,1,6.25E-07,8.32E-10,10.36,0.39729,0,22.305
1187300,-0.029238,0.688,1,3.72E-07,6.83E-10,9.8829,0.40978,0,22.146
1195100,-0.074018,0.60229,1,0.0016394,1.16E-11,6.5223,0.26536,2.11E-12,17.151
